D: 1.86999440, G: 4.86130905, G_cls: 3.73283458
D: 2.13448572, G: 2.43224454, G_cls: 0.88215888
D: 1.56487250, G: 1.45295429, G_cls: 0.52314353
D: 1.90234470, G: 2.14528751, G_cls: 0.68651247
D: 1.90276027, G: 2.21100545, G_cls: 1.35900235
D: 1.51801825, G: 1.75763440, G_cls: 1.07610583
D: 1.77863657, G: 1.62770975, G_cls: 0.58063066
D: 1.54958832, G: 1.77714491, G_cls: 0.76413691
D: 1.32495487, G: 1.67038953, G_cls: 0.64792335
D: 1.41834950, G: 1.79544091, G_cls: 0.79426831
D: 1.73603761, G: 1.53718317, G_cls: 0.52364337
D: 1.56886625, G: 1.31839442, G_cls: 0.65066713
D: 1.44475806, G: 1.14867771, G_cls: 0.58807051
D: 1.54451060, G: 1.65103483, G_cls: 0.73861712
D: 1.49052417, G: 1.48240328, G_cls: 0.69720697
D: 1.32685804, G: 1.44574261, G_cls: 0.84352940
D: 1.35996056, G: 1.49369884, G_cls: 0.76165789
D: 1.57629204, G: 1.49702859, G_cls: 0.70966905
D: 1.34369552, G: 1.60195005, G_cls: 0.78105438
D: 1.38675022, G: 1.37365746, G_cls: 0.69688869
D: 1.39789832, G: 1.58295631, G_cls: 0.79997754
D: 1.31678319, G: 1.55430841, G_cls: 0.57625210
D: 1.27524853, G: 1.44173169, G_cls: 0.72569954
D: 1.39396739, G: 1.65543222, G_cls: 0.67723000
D: 1.35235667, G: 2.24209499, G_cls: 0.68282735
D: 1.34645665, G: 1.37929177, G_cls: 0.67835248
D: 1.38092589, G: 1.57532322, G_cls: 0.65259027
D: 1.26675987, G: 1.24418139, G_cls: 0.73730266
D: 1.60154402, G: 1.28311980, G_cls: 0.72016609
D: 1.52950728, G: 1.51545477, G_cls: 0.71135837
D: 1.56712222, G: 1.56494117, G_cls: 0.54895413
D: 1.48325801, G: 1.61735749, G_cls: 0.79345322
D: 1.43534493, G: 1.50797939, G_cls: 0.71165812
D: 1.43149626, G: 1.54713273, G_cls: 0.69082111
D: 1.48426592, G: 1.61899900, G_cls: 0.68044782
D: 1.39522052, G: 1.56692290, G_cls: 0.70010060
D: 1.49509883, G: 1.58644688, G_cls: 0.67711186
D: 1.26826978, G: 1.27495122, G_cls: 0.72182411
D: 1.47921252, G: 1.85088551, G_cls: 0.76813686
D: 1.42543769, G: 1.66488099, G_cls: 0.71127224
D: 1.26835275, G: 1.40011549, G_cls: 0.60311675
D: 1.43493676, G: 1.59634137, G_cls: 0.69131356
D: 1.22598004, G: 1.27266026, G_cls: 0.70648944
D: 1.43221855, G: 1.44548047, G_cls: 0.75927746
D: 1.34901941, G: 1.35547352, G_cls: 0.77303988
D: 1.30770695, G: 1.55465460, G_cls: 0.62007225
D: 1.54500055, G: 1.43814802, G_cls: 0.70737767
D: 1.31973970, G: 1.26549172, G_cls: 0.69698364
D: 1.40097845, G: 1.40797997, G_cls: 0.76711309
D: 1.34355223, G: 1.43734956, G_cls: 0.88223010
D: 1.36391282, G: 1.37807703, G_cls: 0.75729388
D: 1.44058204, G: 1.33936000, G_cls: 0.74892205
D: 1.43689942, G: 1.57615304, G_cls: 0.66552609
D: 1.33985770, G: 1.34678698, G_cls: 0.67880017
D: 1.31962729, G: 1.42903662, G_cls: 0.72411788
D: 1.35739422, G: 1.15197706, G_cls: 0.68704426
D: 1.42341292, G: 1.25894427, G_cls: 0.76213974
D: 1.36075115, G: 1.57274234, G_cls: 0.72337073
D: 1.50838447, G: 1.36744988, G_cls: 0.64166260
D: 1.43838573, G: 1.36146998, G_cls: 0.72367585
D: 1.38128054, G: 1.52736640, G_cls: 0.81858331
D: 1.39873290, G: 1.46081042, G_cls: 0.77405834
D: 1.50940490, G: 1.28281367, G_cls: 0.75459623
D: 1.29985213, G: 1.16009116, G_cls: 0.60403568
D: 1.43862689, G: 1.29271770, G_cls: 0.71185714
D: 1.37085283, G: 1.38511968, G_cls: 0.71090961
D: 1.31108320, G: 1.27985358, G_cls: 0.69038880
D: 1.35164273, G: 1.59466004, G_cls: 0.66418630
D: 1.55383992, G: 1.05091238, G_cls: 0.59374225
D: 1.33459687, G: 1.45292807, G_cls: 0.75721473
D: 1.55337918, G: 1.15974784, G_cls: 0.63694394
D: 1.50622571, G: 1.41822422, G_cls: 0.72495848
D: 1.43979263, G: 1.40751672, G_cls: 0.74701440
D: 1.30660939, G: 1.22176290, G_cls: 0.70487231
D: 1.43338656, G: 1.36490357, G_cls: 0.78886575
D: 1.37517571, G: 1.23244953, G_cls: 0.70722789
D: 1.39769089, G: 1.35812569, G_cls: 0.79113454
D: 1.39727902, G: 1.25783253, G_cls: 0.73768985
D: 1.39663243, G: 1.14419448, G_cls: 0.63844579
D: 1.40530741, G: 1.29741716, G_cls: 0.69731766
D: 1.40191436, G: 1.35766625, G_cls: 0.74031913
D: 1.46354795, G: 1.39424062, G_cls: 0.76158690
D: 1.37139606, G: 1.56051421, G_cls: 0.71657175
D: 1.42241931, G: 1.19664466, G_cls: 0.70020050
D: 1.36834550, G: 1.19864130, G_cls: 0.66936964
D: 1.33990622, G: 1.21731174, G_cls: 0.67435580
D: 1.46082568, G: 1.28248167, G_cls: 0.68571973
D: 1.41700923, G: 1.37564898, G_cls: 0.79266006
D: 1.35883260, G: 1.27044749, G_cls: 0.75000083
D: 1.40977025, G: 1.26326895, G_cls: 0.58889192
D: 1.54658186, G: 1.10917687, G_cls: 0.63324952
D: 1.39299011, G: 1.18096256, G_cls: 0.70039207
D: 1.36772633, G: 1.35599077, G_cls: 0.74837291
D: 1.41900885, G: 1.42816186, G_cls: 0.76722443
D: 1.41668034, G: 1.24235439, G_cls: 0.74642563
D: 1.33043718, G: 1.34637606, G_cls: 0.77092254
D: 1.31148386, G: 1.23963118, G_cls: 0.69595540
D: 1.36963475, G: 1.37938499, G_cls: 0.76079923
D: 1.31548119, G: 1.63594508, G_cls: 0.69859517
D: 1.38078117, G: 1.26225531, G_cls: 0.73944724
D: 1.36586058, G: 1.46631968, G_cls: 0.80877590
D: 1.39623451, G: 1.67740285, G_cls: 0.69244170
D: 1.41280627, G: 1.32270753, G_cls: 0.72687215
D: 1.38479054, G: 1.40040588, G_cls: 0.68755472
D: 1.34198749, G: 1.50944185, G_cls: 0.81085980
D: 1.37175155, G: 1.31841946, G_cls: 0.73817456
D: 1.47119117, G: 1.32170606, G_cls: 0.78111243
D: 1.38291121, G: 1.20019341, G_cls: 0.62627012
D: 1.32262731, G: 1.30811000, G_cls: 0.70489424
D: 1.40393043, G: 1.28139520, G_cls: 0.63229382
D: 1.37194693, G: 1.33284736, G_cls: 0.73256844
D: 1.47369313, G: 1.24809873, G_cls: 0.74219131
D: 1.36600995, G: 1.20439351, G_cls: 0.69975221
D: 1.44022155, G: 1.27184618, G_cls: 0.71929979
D: 1.40381896, G: 1.16679466, G_cls: 0.67863941
D: 1.41742516, G: 1.21195161, G_cls: 0.75001627
D: 1.48088753, G: 1.24899411, G_cls: 0.71277630
D: 1.49024045, G: 1.32246256, G_cls: 0.67704922
D: 1.37690938, G: 1.22124350, G_cls: 0.70195448
D: 1.40421033, G: 1.20671988, G_cls: 0.64662790
D: 1.32270074, G: 1.26793301, G_cls: 0.79578799
D: 1.44784260, G: 1.18205869, G_cls: 0.66687196
D: 1.40166914, G: 1.37372160, G_cls: 0.73361540
D: 1.40947509, G: 1.19499373, G_cls: 0.71802026
D: 1.53232682, G: 1.22299600, G_cls: 0.70411688
D: 1.51019895, G: 1.34674859, G_cls: 0.70143974
D: 1.36713195, G: 1.18388867, G_cls: 0.69997787
D: 1.38461757, G: 1.18190718, G_cls: 0.71433645
D: 1.42121315, G: 1.39037752, G_cls: 0.69577891
D: 1.30087960, G: 1.16404676, G_cls: 0.65574491
D: 1.39179051, G: 1.37940931, G_cls: 0.73537010
D: 1.31903994, G: 1.39100420, G_cls: 0.68986583
D: 1.42472410, G: 1.23246455, G_cls: 0.72011691
D: 1.44595683, G: 1.30671155, G_cls: 0.69141328
D: 1.48528063, G: 1.21243238, G_cls: 0.73179692
D: 1.43871737, G: 1.20120454, G_cls: 0.69786441
D: 1.34441948, G: 1.18936431, G_cls: 0.64713460
D: 1.35801566, G: 1.70690072, G_cls: 0.67320621
D: 1.34792936, G: 1.38342309, G_cls: 0.76257741
D: 1.33101559, G: 1.19399261, G_cls: 0.72487557
D: 1.42576087, G: 1.31478119, G_cls: 0.72880888
D: 1.35734296, G: 1.40134060, G_cls: 0.74457920
D: 1.46658802, G: 1.13099897, G_cls: 0.70186698
D: 1.28311837, G: 1.44555593, G_cls: 0.71806037
D: 1.38006330, G: 1.24262834, G_cls: 0.72877204
D: 1.38045287, G: 1.24290264, G_cls: 0.68601781
D: 1.44774222, G: 1.33164835, G_cls: 0.66606236
D: 1.36187804, G: 1.25099730, G_cls: 0.62544596
D: 1.42603147, G: 1.16307890, G_cls: 0.77062339
D: 1.44776416, G: 1.03983140, G_cls: 0.62291163
